Total time,Physics time,Receive time,Total connections,Connections outside ROI,Number of closest clients,Total entities,Received messages,Sent messages
10451723,76048,91914,1,0,0,2,C:2 R:2 ,C:2 R:2 
20434900,2568,0,1,0,0,3,,
30434740,11512,0,1,0,0,5,,
40434822,32130,239652,23,4,4,11,B:1 C:58 R:41 ,B:1 C:174 R:22 
50435400,6110,198042,54,5,5,8,C:100 R:65 ,C:396 R:31 
60436436,6008,241592,92,5,5,8,C:109 R:74 ,C:473 R:38 
70436925,10446,331070,131,5,5,9,C:133 B:14 R:76 ,B:17 C:509 R:39 
80437267,10298,324045,165,5,5,6,B:32 C:142 R:71 ,B:35 C:490 R:34 
90437475,10996,363488,201,5,5,9,C:139 R:69 B:31 ,C:479 B:35 R:36 
100437660,12258,395827,234,5,5,8,B:52 C:153 R:69 ,C:495 B:50 R:33 
110437636,11686,414342,265,4,4,7,C:160 R:62 B:71 ,C:450 R:31 B:68 
120438263,9924,435149,289,6,6,9,C:142 R:50 B:63 ,C:409 R:24 B:69 
130438203,11840,451516,316,6,6,9,C:161 B:79 R:54 ,B:85 C:481 R:27 
140438656,12406,572080,343,6,6,11,B:97 C:184 R:54 ,B:99 C:496 R:27 
150439067,12109,500681,368,6,6,8,C:187 B:84 R:51 ,C:462 R:31 B:86 
160439348,9289,436819,395,6,6,10,B:98 C:179 R:55 ,B:100 C:505 R:27 
170440700,8535,494430,413,6,6,7,C:179 B:113 R:38 ,C:391 B:127 R:18 
180440655,11086,592880,442,5,5,11,C:190 B:101 R:54 ,C:496 R:29 B:107 
190441086,13839,669444,466,5,5,10,B:100 C:191 R:96 ,C:696 B:114 R:24 
200441204,16734,835935,498,5,5,7,R:102 C:209 B:108 ,C:744 B:115 R:32 
210441786,4438,423680,498,5,5,8,B:101 C:107 R:24 ,C:245 B:106 
220442189,13524,595242,498,5,5,6,B:108 C:154 R:23 ,B:155 C:245 
230442246,6190,587849,498,5,5,6,C:140 B:105 R:26 ,B:141 C:261 
240442946,4749,497407,498,5,5,6,C:103 B:88 R:20 ,B:102 C:208 
250443626,5101,570764,498,6,6,4,R:22 B:143 C:141 ,C:275 B:141 
260443800,4621,629280,498,6,6,4,B:130 R:25 C:126 ,B:129 C:305 
270444474,6320,564667,497,7,7,2,B:96 C:103 R:18 ,C:233 B:101 
280444620,8743,696245,496,8,8,3,R:23 B:133 C:159 ,C:332 B:159 
290444823,3596,540977,496,8,8,4,R:18 B:120 C:147 ,B:148 C:282 
300445359,2035,397520,496,8,8,6,R:18 B:91 C:123 ,B:102 C:253 R:8 
310445447,3716,682765,496,8,8,6,R:17 C:152 B:148 ,C:300 B:152 
320446627,4592,731365,496,7,7,1,C:127 R:25 B:129 ,B:128 C:349 
330447256,7563,605158,497,8,8,3,B:95 C:105 R:14 ,C:222 B:102 R:1 
340447080,4189,901400,497,8,8,4,C:128 R:64 B:114 ,B:131 C:690 
350447940,3873,577622,497,8,8,5,B:83 C:95 R:38 ,C:425 B:111 
360448422,4343,643685,497,8,8,6,B:126 R:27 C:137 ,B:130 C:369 
370448883,4880,597241,497,8,8,5,B:124 C:115 R:24 ,B:185 C:340 
380449238,4310,745311,497,8,8,5,B:136 R:18 C:170 ,B:140 C:298 
390450181,5059,730190,497,8,8,5,B:148 R:35 C:114 ,C:463 B:93 
400450111,5700,427059,497,8,8,5,R:20 B:106 C:40 ,C:285 B:40 
410450692,4929,495252,497,8,8,5,R:19 B:132 C:57 ,C:303 B:57 
420451479,4667,667103,497,8,8,6,R:23 B:118 C:119 ,C:325 B:119 
430451803,7620,551919,496,8,8,5,R:19 C:123 B:68 ,B:123 C:239 
440452086,4100,602622,496,8,8,5,R:14 C:145 B:102 ,C:228 B:145 
450453426,4799,725114,497,8,8,7,R:15 C:166 B:110 ,C:246 B:143 R:9 
460453511,7260,582959,497,8,8,6,R:11 B:106 C:100 ,C:205 B:100 
470454288,6150,625650,497,8,8,6,C:127 R:17 B:128 ,B:127 C:281 
480454900,4611,579620,497,8,8,7,B:133 C:119 R:12 ,B:119 C:241 
490455581,5664,611630,497,8,8,7,C:94 R:48 B:85 ,B:97 C:517 
500455767,6620,601411,497,8,8,7,C:119 R:31 B:94 ,C:373 B:116 
510457047,4638,136265,497,8,8,8,R:5 C:31 B:21 ,C:66 B:168 
520457407,5455,4062,497,8,8,8,B:1 C:1 ,B:154 C:1 
530457632,6285,0,497,8,8,8,,B:170 
540458236,5086,0,497,8,8,9,,B:175 
550458458,6883,3410,496,8,8,8,B:1 C:1 ,B:154 C:1 
560459194,5551,0,496,8,8,8,,B:170 
