Total time,Physics time,Receive time,Total connections,Connections in ROI,Connections outside ROI,Number of closest clients,Known clients,Total entities,Received messages,Sent messages
10091027,56170,121535,1,0,0,0,0,2,C:2 R:2 ,C:2 R:2 
20069052,1703,0,1,0,0,0,0,3,,
30069312,11345,0,1,0,0,0,0,5,,
40069123,27634,0,1,0,0,0,0,5,,
50069524,2425,0,1,0,0,0,0,5,,
60069540,2347,0,1,0,0,0,0,3,,
70069734,5179,0,1,0,0,0,0,4,,
80069991,2996,0,1,0,0,0,0,5,,
90070071,3627,0,1,0,0,0,0,6,,
100070420,4545,0,1,0,0,0,0,6,,
110069991,4324,0,0,0,0,0,0,2,,
120070565,4483,0,0,0,0,0,0,4,,
130070641,3876,0,0,0,0,0,0,5,,
140070191,3741,0,0,0,0,0,0,5,,
150070467,4103,0,0,0,0,0,0,6,,
160071057,3271,0,0,0,0,0,0,2,,
170071183,3315,0,0,0,0,0,0,3,,
180071285,3361,0,0,0,0,0,0,5,,
190071092,2863,0,0,0,0,0,0,5,,
200071133,3199,0,0,0,0,0,0,5,,
210071805,2805,0,0,0,0,0,0,6,,
220071867,3784,0,0,0,0,0,0,6,,
230072190,3927,0,0,0,0,0,0,5,,
240072397,3918,0,0,0,0,0,0,6,,
250072354,4223,0,0,0,0,0,0,5,,
260072457,3563,0,0,0,0,0,0,5,,
270072087,3432,0,0,0,0,0,0,6,,
280072440,5089,0,0,0,0,0,0,6,,
290072732,3671,0,0,0,0,0,0,6,,
300072752,4529,0,0,0,0,0,0,7,,
310072888,4021,0,0,0,0,0,0,7,,
320073327,4698,0,0,0,0,0,0,7,,
330073840,5568,0,0,0,0,0,0,7,,
340073913,5736,0,0,0,0,0,0,7,,
350073994,4506,0,0,0,0,0,0,7,,
360073881,4050,0,0,0,0,0,0,7,,
370074518,4262,0,0,0,0,0,0,7,,
380074028,5224,0,0,0,0,0,0,7,,
390074617,4310,0,0,0,0,0,0,8,,
400074230,4597,0,0,0,0,0,0,7,,
410074624,3244,0,0,0,0,0,0,7,,
420074683,4078,0,0,0,0,0,0,7,,
430074778,4522,0,0,0,0,0,0,7,,
440074852,4542,0,0,0,0,0,0,7,,
450075059,3723,0,0,0,0,0,0,8,,
460075444,3423,0,0,0,0,0,0,8,,
470075700,4556,0,0,0,0,0,0,8,,
480075776,4670,0,0,0,0,0,0,8,,
490076791,4625,0,0,0,0,0,0,7,,
500076605,3844,0,0,0,0,0,0,7,,
