Total time,Physics time,Receive time,Total connections,Connections in ROI,Connections outside ROI,Number of closest clients,Known clients,Number of processes,Total entities,Received messages,Sent messages
10437309,111377,140890,1,0,1,1,1,2,2,C:3 R:1 ,C:3 R:2 
20404830,2075,10270,3,0,3,3,3,4,4,C:7 R:2 ,C:7 R:2 
30405174,1867,15435,7,0,4,4,7,9,5,C:17 R:4 ,C:19 R:4 
40405358,4376,5115,9,0,4,4,10,14,5,C:10 R:2 ,C:12 R:2 B:1 
50405632,2067,16978,13,0,4,4,15,19,5,C:24 R:4 B:1 ,C:23 R:4 
60405848,1559,1706,13,0,3,3,15,24,3,B:2 C:1 ,C:2 B:1 
70405915,3785,13178,18,0,4,4,22,29,4,B:1 C:31 R:5 ,C:26 R:5 
80406212,2162,4723,19,0,4,4,24,32,5,C:9 R:1 B:1 ,B:1 C:7 R:1 
90406706,3305,2427,19,0,4,4,24,32,6,B:2 C:1 ,B:1 C:2 
100406307,3907,3531,19,0,4,4,24,33,6,B:4 C:2 ,C:4 B:2 
110406495,3356,2645,19,0,4,4,24,33,6,C:1 B:2 ,B:1 C:2 
120406485,3561,2162,18,0,4,4,23,33,7,B:2 C:1 ,B:1 C:2 
130406675,4236,4622,17,0,4,4,22,33,7,B:4 C:2 ,C:4 B:2 
140406789,4475,1277,16,0,4,4,21,33,7,B:2 ,B:1 C:2 
150407004,3156,8000,13,0,4,4,21,33,8,B:2 C:15 ,B:1 C:2 R:4 
160406948,4343,1392,12,0,4,4,20,33,7,B:2 ,C:2 
170407223,3703,29245,19,0,5,5,29,32,6,B:2 C:49 R:10 ,B:2 C:64 R:9 
180407491,2321,4454,19,0,5,5,29,32,7,R:2 B:2 C:2 ,C:14 B:2 
190407304,3919,5710,19,0,5,5,29,32,7,C:2 B:4 R:1 ,B:2 C:9 
200407616,3818,8993,19,0,5,5,29,32,7,B:3 R:2 C:1 ,C:15 B:1 
210407773,3245,9777,19,0,5,5,28,32,8,B:3 C:11 R:3 ,C:21 R:1 B:2 
220408086,3828,5184,20,0,6,6,28,32,8,R:2 C:6 B:2 ,C:15 R:1 B:1 
230407932,2760,2805,20,0,6,6,28,32,8,R:1 C:2 B:1 ,C:8 B:1 
240408001,4216,6724,19,0,6,6,27,32,9,B:5 C:3 ,B:3 C:5 
250408537,3845,6026,18,0,6,6,26,32,9,B:6 C:3 ,C:6 B:3 
260408282,4443,1548,18,0,6,6,26,32,8,B:1 C:1 ,B:1 C:1 
270408389,2942,5428,15,0,6,6,23,32,9,B:5 C:3 ,C:5 B:3 
280408715,3833,4136,15,0,6,6,23,32,9,B:5 C:2 ,C:5 B:2 
290408624,4128,1361,14,0,6,6,22,32,9,B:1 C:1 ,B:1 C:1 
300409012,3716,25493,14,0,6,6,26,32,9,B:6 C:43 R:1 ,C:14 B:1 R:7 
