Real time, Total time,Physics time,Receive time,Total connections,Connections in ROI,Connections outside ROI,Number of closest clients,Known clients,Number of processes,Total entities,Received messages,Sent messages
19/04/2016 09:13:17,100877188,104951,215726,20,0,6,6,26,32,5,C:102 R:20 B:5 ,C:121 R:21 B:5 L:6 
19/04/2016 09:13:27,200865463,29200,139218,15,0,6,6,22,33,8,B:16 C:90 R:10 L:156 D:3 Q:3 ,C:95 B:12 R:13 L:3 
19/04/2016 09:13:37,300865834,27552,60449,14,0,6,6,30,35,9,C:62 L:67 B:10 R:9 Q:2 ,C:60 B:11 L:2 R:8 
19/04/2016 09:13:47,400865964,25758,169051,11,0,6,6,26,36,9,C:45 R:8 B:14 L:310 H:2 Q:5 ,B:15 C:73 R:4 L:5 
19/04/2016 09:13:57,500865694,25758,72426,12,0,6,6,27,37,9,B:22 C:66 R:4 L:82 D:2 Q:1 ,B:16 C:52 R:9 L:1 
19/04/2016 09:14:07,600865730,168435,1916529,29,29,0,7,32,35,81,C:472 H:19 L:3422 B:69 R:24 Q:30 T:3 D:5 ,B:75 C:454 R:31 L:3999 Q:37 T:17 D:13 
19/04/2016 09:14:17,700865792,216234,2475099,29,29,0,7,32,34,87,L:4512 B:79 C:359 Q:53 H:25 D:23 T:11 R:10 ,L:4643 B:89 C:398 T:25 D:9 Q:24 
19/04/2016 09:14:27,800865977,187289,2521814,31,31,0,5,34,33,87,L:4206 Q:52 H:24 C:462 D:43 B:81 R:11 T:49 ,L:3615 T:24 C:412 B:90 Q:30 R:10 D:1 
19/04/2016 09:14:37,900865975,157966,2250798,27,25,2,5,28,35,63,L:3770 C:360 B:82 D:23 Q:37 H:8 R:8 T:43 ,B:85 L:2910 C:300 Q:25 T:8 D:1 R:9 H:1 
19/04/2016 09:14:47,1000866035,117317,1871799,23,22,1,4,28,32,41,L:3197 T:44 C:274 D:18 B:71 H:9 Q:24 R:10 ,L:2201 Q:12 B:81 C:237 T:9 D:2 R:2 
19/04/2016 09:14:57,1100866186,102058,1516841,20,18,1,4,29,32,32,L:2513 C:303 D:8 H:16 B:58 T:33 Q:21 R:10 ,L:1712 C:237 T:15 Q:2 B:73 R:9 D:25 
19/04/2016 09:15:07,1200866895,47849,517611,17,2,6,6,33,32,10,L:743 B:36 H:34 C:262 T:10 D:4 R:9 Q:4 ,B:67 C:134 L:494 R:20 T:3 D:1 H:2 
19/04/2016 09:15:17,1300867075,36666,90038,11,0,7,7,27,32,13,L:23 C:120 B:19 H:1 R:9 ,B:30 C:82 L:10 R:5 
19/04/2016 09:15:27,1400866606,50686,77006,13,0,8,8,33,34,12,C:120 B:20 R:7 ,B:42 C:89 R:10 
19/04/2016 09:15:37,1500867094,39861,63821,14,0,8,8,33,35,12,C:99 B:23 R:2 ,B:40 C:47 R:10 
19/04/2016 09:15:47,1600866837,36055,51714,12,0,7,7,29,35,11,C:48 R:7 B:21 ,B:51 C:82 R:1 
19/04/2016 09:15:57,1700867060,39972,73358,13,0,7,7,27,34,12,B:21 C:95 R:7 ,C:89 B:33 R:9 
19/04/2016 09:16:07,1800867008,147610,1804301,24,23,1,7,29,35,138,C:333 B:64 R:16 L:3167 Q:30 D:4 T:17 ,B:65 C:306 R:24 L:3959 Q:78 D:12 T:20 
19/04/2016 09:16:17,1900867067,230083,2411045,26,26,0,5,29,35,145,L:4295 C:228 B:79 Q:65 T:66 H:2 R:5 D:11 ,L:5802 B:77 C:288 D:39 Q:102 R:3 T:54 H:1 
19/04/2016 09:16:27,2000867250,235041,2329350,29,26,2,7,30,35,99,L:4298 C:228 T:34 D:7 Q:45 B:78 R:5 H:1 ,L:5380 C:284 D:4 Q:77 B:80 H:3 T:42 R:10 
19/04/2016 09:16:37,2100867316,202527,1905163,22,21,1,6,26,36,81,L:3592 C:229 B:62 Q:50 T:58 D:8 R:1 ,B:72 C:230 L:3668 Q:47 T:75 H:1 R:6 
19/04/2016 09:16:47,2200867375,193976,1601338,26,21,1,5,28,34,60,L:2700 C:172 B:62 D:8 H:9 Q:76 T:31 R:9 ,L:3509 B:65 C:310 T:36 Q:40 R:7 H:8 D:15 
19/04/2016 09:16:57,2300867492,150910,1170617,19,16,2,6,29,33,35,L:1932 T:27 C:204 B:50 Q:37 R:7 ,L:3520 D:2 Q:21 B:67 T:17 C:262 R:13 H:2 
19/04/2016 09:17:07,2400880491,58465,454987,17,0,7,7,35,33,15,L:618 C:252 B:29 Q:7 T:2 D:2 H:10 R:19 ,B:54 C:319 L:1333 Q:2 T:7 H:20 D:3 R:23 
19/04/2016 09:17:17,2500880583,43615,99436,15,0,5,5,32,34,14,C:136 B:31 D:1 R:9 L:3 ,B:34 C:142 L:6 R:4 D:1 
19/04/2016 09:17:27,2600880514,46262,107991,17,1,4,5,33,34,17,B:29 C:135 R:13 L:3 D:1 ,C:139 B:23 R:12 L:2 
19/04/2016 09:17:37,2700881052,49698,100246,16,0,5,5,31,35,20,B:38 C:129 R:9 L:11 ,C:123 B:10 R:11 Q:1 
19/04/2016 09:17:47,2800880828,52829,97616,20,1,6,7,30,35,18,B:31 C:118 R:15 L:23 Q:2 ,C:141 Q:1 B:12 L:5 R:8 
19/04/2016 09:17:57,2900880879,56705,95677,11,1,5,6,26,33,17,L:10 B:40 C:124 R:4 ,C:77 B:28 R:7 L:2 
19/04/2016 09:18:07,3000880685,191053,2163547,31,28,0,5,32,33,136,C:448 B:122 R:23 L:3743 Q:129 D:7 T:32 H:1 ,B:134 C:448 R:34 L:5555 Q:86 D:4 T:14 H:4 
