Real time, Total time,Physics time,Receive time,Total connections,Connections in ROI,Connections outside ROI,Number of closest clients,Known clients,Number of processes,Total entities,Received messages,Sent messages,Total received messages,Total sent messages
22/04/2016 18:35:48,10543550,34208,74914,1,0,0,0,0,0,2,C:2 R:2 ,C:2 R:2 ,4,4
22/04/2016 18:35:49,20519561,2114,0,1,0,0,0,0,0,3,,,0,0
22/04/2016 18:35:50,30519104,11318,89540,2,1,0,1,1,0,7,C:3 R:2 L:3 ,C:3 R:1 L:5 ,8,9
22/04/2016 18:35:51,40519580,19839,6009,3,2,0,2,2,0,10,L:6 C:4 R:2 ,L:12 C:6 R:1 ,12,19
22/04/2016 18:35:52,50519383,8220,27737,4,3,0,3,3,0,13,C:4 R:2 L:11 ,L:16 D:1 C:9 R:1 ,17,27
22/04/2016 18:35:53,60519493,3994,19514,5,4,0,4,4,0,19,L:16 C:3 R:2 ,L:26 D:1 C:12 R:1 ,21,40
22/04/2016 18:35:54,70520047,7951,23367,6,5,0,4,5,0,21,L:21 C:7 R:2 D:1 ,L:78 D:1 C:15 R:1 ,31,95
22/04/2016 18:35:55,80519787,8235,19649,7,6,0,4,6,0,25,L:29 C:8 R:2 D:1 ,L:92 D:1 C:19 R:1 ,40,113
22/04/2016 18:35:56,90519690,10319,28863,8,7,0,4,7,0,30,L:38 C:11 R:2 D:1 ,L:105 D:1 C:19 R:1 ,52,126
22/04/2016 18:35:57,100519753,9953,35625,9,8,0,4,8,0,32,L:51 D:2 C:10 R:2 ,L:117 D:1 C:19 R:1 ,65,138
22/04/2016 18:35:58,110519826,10001,47204,9,9,0,4,9,0,37,L:69 D:2 C:15 R:2 ,L:147 D:1 C:19 R:1 ,88,168
22/04/2016 18:35:59,120519861,12304,51771,10,10,0,4,10,0,41,L:86 D:2 C:9 R:2 ,L:144 D:1 C:15 R:1 ,99,161
22/04/2016 18:36:00,130519924,8227,61832,11,11,0,4,11,0,44,L:102 D:4 C:17 R:2 ,L:153 D:1 C:21 R:1 ,125,176
22/04/2016 18:36:01,140520168,11221,110471,12,12,0,5,12,0,48,L:117 D:5 C:18 R:2 H:1 Q:1 ,L:182 D:1 C:19 R:1 T:1 ,144,204
22/04/2016 18:36:02,150520124,13637,100879,13,13,0,5,13,0,52,L:125 D:4 H:2 Q:1 C:41 R:2 ,L:207 D:1 T:2 C:31 R:6 B:1 ,175,248
22/04/2016 18:36:03,160520149,14339,81999,14,14,0,5,14,0,53,L:135 D:5 H:3 Q:2 C:24 R:2 ,L:276 T:3 D:3 C:30 R:1 Q:1 ,171,314
22/04/2016 18:36:04,170520251,12695,90608,15,15,0,5,15,0,58,L:152 D:4 H:3 Q:3 C:15 R:2 ,L:291 D:1 T:3 C:23 R:1 Q:1 ,179,320
22/04/2016 18:36:05,180520306,15652,94928,16,16,0,5,16,0,65,L:170 D:3 H:3 Q:3 R:3 C:16 ,D:3 L:304 T:3 C:32 R:1 B:1 ,198,344
22/04/2016 18:36:06,190520363,14994,116629,17,17,0,5,17,0,74,L:180 D:5 H:3 Q:3 R:3 C:39 ,D:3 L:351 T:3 C:34 R:1 ,233,392
22/04/2016 18:36:07,200520405,15072,128052,18,18,0,5,18,0,81,L:200 D:5 H:2 Q:1 C:34 R:2 ,D:3 L:341 T:2 C:33 R:1 ,244,380
22/04/2016 18:36:08,210520478,17174,122473,19,19,0,5,19,0,87,L:218 D:5 H:3 Q:2 R:3 C:27 ,D:3 L:397 T:3 C:39 R:1 B:1 ,258,444
22/04/2016 18:36:09,220520617,17755,130753,20,20,0,5,20,0,92,L:224 H:2 D:4 Q:1 R:3 C:15 ,D:5 L:417 T:2 C:41 R:1 ,249,466
22/04/2016 18:36:10,230520621,17968,146568,21,21,0,5,21,0,95,L:246 H:3 D:4 Q:2 C:21 R:2 ,L:407 D:5 T:3 C:27 R:1 Q:2 ,278,445
22/04/2016 18:36:11,240521027,18706,180265,22,22,0,5,22,0,103,L:259 H:4 Q:3 D:5 C:39 R:2 ,L:491 D:5 T:4 C:32 R:1 B:1 Q:2 ,312,536
22/04/2016 18:36:12,250520765,22105,179796,23,23,0,5,23,0,111,L:283 D:5 H:4 C:40 Q:2 R:2 ,L:562 D:8 T:9 C:42 R:1 Q:1 ,336,623
22/04/2016 18:36:13,260520880,22840,163750,24,24,0,5,24,0,118,L:303 D:5 H:3 Q:2 C:17 R:2 ,L:560 D:10 T:3 C:22 R:1 ,332,596
22/04/2016 18:36:14,270521004,35313,220585,25,25,0,5,25,0,131,L:324 H:2 Q:2 D:4 C:75 R:2 ,L:539 D:12 T:2 C:61 R:1 Q:1 ,409,616
22/04/2016 18:36:15,280521102,22726,244682,26,26,0,5,26,0,133,L:343 H:2 D:4 C:16 R:2 T:4 Q:1 ,L:492 D:7 T:2 C:27 R:1 Q:1 ,372,530
22/04/2016 18:36:16,290521539,22479,220912,27,27,0,5,27,0,136,L:359 H:2 R:3 C:46 D:4 T:1 ,L:531 Q:4 D:8 T:2 C:44 R:1 ,415,590
22/04/2016 18:36:17,300521612,42047,253689,28,28,0,5,28,0,144,L:373 C:70 D:6 H:2 Q:2 R:2 ,L:511 D:5 T:2 Q:2 C:42 R:6 ,455,568
22/04/2016 18:36:18,310521728,26032,225570,29,29,0,5,29,0,144,L:383 H:2 Q:1 D:4 C:26 R:2 ,L:527 D:5 T:2 C:26 R:1 Q:2 ,418,563
22/04/2016 18:36:19,320521847,28379,266796,30,30,0,5,30,0,154,L:412 C:47 H:2 D:2 R:2 ,L:548 T:2 D:4 Q:3 C:45 R:1 ,465,603
22/04/2016 18:36:20,330521873,26350,354167,31,31,0,5,31,0,156,C:67 L:424 H:2 R:3 D:3 T:2 ,C:57 L:589 T:2 D:4 R:1 Q:1 ,501,654
22/04/2016 18:36:21,340522914,35564,294928,32,32,0,5,32,0,168,Q:2 L:439 C:33 T:1 H:2 R:4 D:3 ,L:677 D:5 T:2 C:38 R:1 B:1 Q:1 ,484,725
22/04/2016 18:36:22,350523963,30315,294451,33,33,0,5,33,0,167,L:443 C:66 H:3 Q:1 D:3 T:1 R:2 ,L:750 C:42 Q:2 T:3 D:7 R:1 ,519,805
22/04/2016 18:36:23,360524139,33271,326317,34,34,0,5,34,0,172,C:72 L:468 H:3 Q:2 D:3 R:3 ,C:46 D:12 L:726 T:3 R:1 Q:1 ,551,789
22/04/2016 18:36:24,370530262,32506,341407,35,35,0,5,35,0,176,L:474 C:38 D:2 H:3 Q:2 R:3 ,L:720 C:37 D:15 T:3 Q:2 B:1 R:1 ,522,779
22/04/2016 18:36:25,380528950,39899,395953,36,36,0,5,36,0,180,L:488 C:66 D:2 H:2 Q:1 R:2 T:2 ,L:698 Q:3 C:51 T:2 D:12 R:1 ,563,767
22/04/2016 18:36:26,390534032,38303,352833,37,37,0,5,37,0,185,L:493 C:72 D:4 H:4 R:1 Q:2 ,L:866 Q:1 C:51 D:14 T:4 R:1 ,576,937
22/04/2016 18:36:27,400536583,42274,393033,38,38,0,5,38,0,190,C:65 L:516 D:4 R:5 T:9 H:2 Q:2 ,L:836 C:48 Q:3 D:17 T:2 B:1 R:1 ,603,908
22/04/2016 18:36:28,410565417,47001,420476,38,38,0,5,38,0,196,C:95 L:529 D:6 T:4 H:2 ,L:682 C:34 Q:1 D:9 T:2 ,636,728
22/04/2016 18:36:29,420552536,41460,451990,40,40,0,5,40,0,204,L:540 C:78 D:3 R:2 H:2 ,D:26 L:1085 C:51 R:2 T:2 ,625,1166
22/04/2016 18:36:30,430552617,52482,362134,40,40,0,5,40,0,207,R:2 C:62 L:568 D:6 H:2 Q:1 ,C:42 L:747 Q:3 D:16 T:2 B:1 ,641,811
22/04/2016 18:36:31,440555048,44197,394841,41,41,0,5,41,0,215,D:7 L:577 C:38 R:3 H:3 ,L:929 Q:3 C:64 R:1 D:17 T:3 ,628,1017
22/04/2016 18:36:32,450556134,51090,432776,42,42,0,5,42,0,218,L:590 D:8 T:1 H:4 C:68 R:2 Q:1 ,L:959 Q:2 T:4 C:46 R:6 D:12 ,674,1029
22/04/2016 18:36:33,460579167,76601,458253,43,43,0,5,43,0,228,L:598 C:61 D:5 H:2 R:2 ,L:984 C:59 Q:1 D:22 R:1 T:2 B:1 ,668,1070
22/04/2016 18:36:34,470601397,67453,442278,43,43,0,5,43,0,229,L:621 C:42 D:7 T:8 H:2 ,L:823 D:21 Q:2 T:2 C:27 ,680,875
22/04/2016 18:36:35,480608159,94074,544390,44,44,0,5,44,0,236,L:619 C:87 D:8 R:3 H:1 ,L:1043 C:79 R:1 D:19 T:1 Q:1 ,718,1144
22/04/2016 18:36:36,490612371,50262,425339,45,45,0,5,45,0,238,L:650 C:29 D:6 R:3 H:2 T:2 ,L:970 C:33 R:1 D:22 T:2 Q:1 ,692,1029
22/04/2016 18:36:37,500613512,59575,498374,45,45,0,5,45,0,241,L:652 Q:8 C:55 D:6 H:3 R:1 ,B:1 L:873 C:59 T:3 D:23 Q:1 ,725,960
22/04/2016 18:36:38,510618183,85679,471431,46,46,0,6,46,0,244,L:615 D:9 H:3 Q:2 C:38 R:1 ,L:1143 T:3 C:58 D:20 R:1 H:5 Q:1 ,668,1231
22/04/2016 18:36:39,520627696,83411,541232,47,47,0,6,47,0,254,L:646 Q:4 C:81 R:3 D:5 T:4 H:1 ,L:1057 C:77 R:1 H:3 Q:1 T:1 D:10 ,744,1150
22/04/2016 18:36:40,530619338,49646,550890,47,47,0,6,47,0,258,L:668 C:44 D:6 T:4 Q:5 H:1 ,B:1 L:839 Q:2 H:5 C:28 T:1 ,728,876
22/04/2016 18:36:41,540620305,59706,424942,48,48,0,6,48,0,256,L:635 C:58 D:7 T:7 Q:3 R:1 H:1 ,C:48 D:14 L:1043 R:1 Q:3 H:1 T:1 ,712,1111
22/04/2016 18:36:42,550634762,41503,441368,48,48,0,6,48,0,268,L:665 D:6 Q:12 C:111 R:2 T:1 H:1 ,C:106 L:800 D:9 Q:3 H:1 T:1 ,798,920
